nombrepunto;tipo;direccion;comuna;fech_inicio;fech_termino;hora_sem;hora_vie;hora_sab;hora_dom
ED;propio;Parque Bicentenario;Vitacura;06-11-25;09-11-25;11:00 a 22:00;11:00 a 22:00;11:00 a 22:00;11:00 a 20:00
Cachagua;propio;Carretera E46 Km 18;Zapallar;15-01-26;18-01-26;19:00 a 22:00;11:30 a 22:00;11:30 a 22:00;11:30 a 21:00
Parque Arauco;productora;Sector La Pileta;Las Condes;30-12-25;12-01-26;10:00 a 21:00;10:00 a 21:00;10:00 a 21:00;10:00 a 20:30
Paseo Los Dominicos;productora;Camino El Alba 11969;Las Condes;22-10-25;26-10-25;10:00 a 20:30;10:00 a 21:00;10:00 a 21:00;10:00 a 20:30
Cenco Rancagua;productora;Jumbo Rancagua;Rancagua;17-02-26;01-03-26;10:00 a 21:00;10:00 a 21:00;10:00 a 21:00;10:00 a 21:00
Club Santa María;productora;Club Santa María;Santo Domingo;22-01-26;25-01-26;12:00 a 21:00;12:00 a 21:00;12:00 a 21:00;10:00 a 20:30
Costa Bazar Marbella;productora;Hotel Marbella Resort Km. 35 Carretera Concon a Zapallar;Puchuncaví;19-02-26;22-02-26;11:00 a 21:00;11:00 a 21:00;11:00 a 21:00;11:00 a 21:00
Cenco Rancagua;productora;Jumbo Rancagua;Rancagua;02-03-26;16-03-26;10:00 a 21:00;10:00 a 21:00;10:00 a 21:00;10:00 a 21:00
Cenco La Dehesa;Aporte;Cenco La Dehesa;Lo Barnechea;20-04-26;02-05-26;10:00 a 21:00;10:00 a 21:00;10:00 a 21:00;10:00 a 21:00
Paseo Los Dominicos;Boulevard;Camino El Alba 11969;Las Condes;16-04-26;19-04-26;10:00 a 20:30;10:00 a 21:00;10:00 a 21:00;10:00 a 20:30
Parque Arauco;Boulevard;Sector La Pileta;Las Condes;06-04-26;02-05-26;10:00 a 21:00;10:00 a 21:00;10:00 a 21:00;10:00 a 20:30
Alto Las Condes;Boulevard;Alto Las Condes;Las Condes;20-04-26;02-05-26;10:00 a 21:00;10:00 a 21:00;10:00 a 21:00;10:00 a 20:30
Quincho Zapallar; Paz Toral;Camino Zapallar km 5,5;Curicó;25-04-26;26-04-26;00:00 a 00:00;00:00 a 00:00;12:00 a 21:00;10:00 a 20:30
Falabella Parque Arauco;Falabella;Parque Arauco Piso -1;Las Condes;02-05-26;10-05-26;10:00 a 21:00;10:00 a 21:00;10:00 a 21:00;10:00 a 20:30